代號,名稱,年/月,營業利益率,稅後淨利率,每股盈餘,ROE(A)－稅後,速動比率,負債比率,來自營運之現金流量,營收成長率,股利殖利率,現金股利率,普通股每股現金股利（盈餘及公積）,交易所主產業代碼,利息保障倍數,總資產週轉次數,存貨週轉率（次）,平均收帳天數,平均售貨天數
1519,華城,2019/12,4.61,5.78,1.57,12.89,72.26,60.65,"696,024",19.68,3.44,3.44,1,M1500,16.17,0.93,2.69,125.14,135.86
1521,大億,2019/12,7.64,6.69,4.73,19.22,66.43,47.72,"389,234",-5.5,6.17,6.17,4,M2200,278.27,1.52,5.53,55.74,65.95
1522,堤維西,2019/12,6.02,4.06,2.23,10.56,56.5,70.94,"1,865,140",5.52,4.82,4.82,1.4,M2200,5.93,0.78,2.9,61.34,125.74
1524,耿鼎,2019/12,9.01,6.32,0.84,6.56,61,54.16,"375,157",-0.93,4.02,4.02,0.4,M2200,9.99,0.47,3.68,57.54,99.12
1525,江申,2019/12,2.37,23.34,3.95,7.05,95.03,18.48,"-78,244",-7.15,3.56,3.56,2,M2200,232.32,0.25,6.58,97.95,55.45
1526,日馳,2019/12,9.84,7.07,1.34,8.06,110.87,38.24,"159,540",-10.81,3.33,3.33,0.8,M1500,22.74,0.67,1.43,67.47,255.18
1527,鑽全,2019/12,16.64,16.56,4.15,14.88,165.57,15.88,"1,084,018",-7.21,2.44,2.44,1.2,M1500,10.42,0.36,4.51,78.06,80.88
1528,恩德,2019/12,-6.94,-6.56,-1.39,-10.97,84.62,52.91,"492,150",-15.18,1.08,1.08,0.1,M1500,-6.67,0.77,1.98,107.88,184.39
1529,樂士,2019/12,5.22,5.38,0.54,4.84,85.5,43.48,"-159,114",92.39,2.83,2.83,0.5,M1500,10.65,0.56,32.14,86.79,11.36
1530,亞崴,2019/12,5.72,3.15,1.23,3.51,61.75,55.28,"811,467",-29.85,4.97,4.97,1.5,M1500,6.53,0.47,1.4,126.55,260.35
1531,高林股,2019/12,0.86,1.37,0.16,0.8,565.38,16.76,"461,915",-18.45,1.32,1.32,0.2,M1500,40.62,0.48,1.8,154.91,202.99
1532,勤美,2019/12,7.51,4.81,1.32,4.05,48.23,63.33,"-405,912",-23.86,2.87,2.87,0.9,M1500,4.3,0.34,0.66,108.84,554.44
1533,車王電,2019/12,5.88,4.32,2.05,4.51,97.97,54.42,"339,823",-2.88,1.31,1.31,0.5,M2200,6.31,0.51,1.35,81.03,270.59
1535,中宇,2019/12,0.35,1.36,1.03,4.25,107.91,51.93,"984,286",-13.85,3.42,3.42,1.2,M1500,32.31,1.31,1320.75,66.53,0.28
1536,和大,2019/12,13.71,10.94,2.55,9.68,62.62,61.38,"311,731",-16.56,1.74,1.74,2,M2200,9.27,0.36,2.36,129.92,154.61
1537,廣隆,2019/12,16.55,12.69,12.32,25.25,273.01,25.4,"1,666,549",-6.55,6.71,6.71,10,M1500,317.49,1.41,3.72,54.95,98.06
1538,正峰新,2019/12,-27.68,-40.71,-2.63,-64.3,30.96,84.34,"-10,178",-14.29,0,0,0,M1500,-6.54,0.34,3.54,65.03,103.2
1539,巨庭,2019/12,6.16,3.18,1.07,5.22,61.18,60.81,"-145,958",-15.36,4.01,4.01,0.8,M1500,7.16,0.68,3.83,53.52,95.2
1540,喬福,2019/12,17.97,17.23,1.35,7.98,503.21,13.24,"118,085",6.24,5.13,5.13,1,M1500,185.11,0.37,1.82,40.67,201.05
1541,錩泰,2019/12,9.9,5.99,3.19,21.07,90.45,58.81,"417,032",16.97,0,0,0,M1500,35.43,1.42,5.44,109.25,67.15
1558,伸興,2019/12,14.34,11.59,11.16,14.26,266.12,25.43,"769,441",-11,6.64,6.64,8.8,M1500,215.6,0.9,7.49,62.95,48.76
1560,中砂,2019/12,13.83,11.08,3.81,11.78,92.2,41.89,"997,349",-5.17,4.06,4.06,2.8,M1500,98.34,0.67,2.59,70.44,140.83
1568,倉佑,2019/12,1.35,1.38,0.27,1.78,96.08,53.46,"270,190",-19.11,2.58,2.58,0.5,M2200,2.87,0.59,2.48,123.24,147.02
1582,信錦,2019/12,14.89,10.98,7.61,16.72,175.52,42.95,"1,126,447",-2.57,4.95,4.95,4.5,M2300,71.25,0.93,9.58,148.07,38.11
1583,程泰,2019/12,7.6,5.38,2.43,5.48,74.27,53.84,"1,869,535",-26.93,5.09,5.09,3,M1500,8.6,0.44,1.17,123.07,311.24
1587,吉茂,2019/12,1.67,0.14,0.05,0.18,63.69,52.86,"181,608",3.8,3.29,3.29,0.5,M2200,1.39,0.59,1.69,82.67,215.96
1589,永冠-KY,2019/12,2.69,2.07,1.54,2.03,161.36,42.15,"-325,338",27.5,0.81,0.81,0.5,M1500,2.37,0.56,5.03,116.65,72.5
1590,亞德客-KY,2019/12,25.34,17.15,14.42,15.45,81.55,54.47,"5,148,167",1.89,1.02,1.02,4.76,M1500,13.1,0.42,2.34,114.75,155.89
1592,英瑞-KY,2019/12,-6.56,-7.76,-3.58,-15.22,43.06,67.96,"2,982",17.05,0,0,0,M2200,-1.58,0.67,1.82,58.32,200.33
1598,岱宇,2019/12,5.6,3.76,2.05,10.18,49.23,69.24,"411,747",5.28,2.62,2.62,1.15,M1700,5.69,0.82,3.41,60.56,106.98
1603,華電,2019/12,9.03,8.58,1.46,4.64,119.64,36.58,"253,443",8.31,1.78,1.78,0.5,M1600,19.96,0.34,3.19,148.81,114.54
1604,聲寶,2019/12,4.18,10.86,2,11.69,74.09,45.28,"513,686",0.56,7.31,7.31,1.5,M1600,28.05,0.58,3.88,31.36,94.09
